,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
142,Iquitos,PE,80.64,few clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
143,Sahuaripa,MX,84.99,clear sky,29.05,-109.2333,Estatua de Sahuaripa
144,Meulaboh,ID,75.15,overcast clouds,4.1363,96.1285,Kost Pria
145,Tahoua,NE,85.95,clear sky,14.8888,5.2692,Bungalows Guesthouse
146,Gorontalo,ID,78.96,scattered clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
147,Yanam,IN,73.9,few clouds,16.7333,82.2167,The Regency Hotel
150,Bambous Virieux,MU,71.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
151,Alta Floresta,BR,73.85,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
152,Grand Gaube,MU,71.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
153,Parrita,CR,84.52,overcast clouds,9.5201,-84.3225,Beso del Viento
154,Ipixuna,BR,82.35,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
155,Canutama,BR,74.59,moderate rain,-6.5339,-64.3831,Hotel Jhennifer
156,Tefe,BR,74.28,light rain,-3.3542,-64.7114,Aracati Hotel
157,Mitsamiouli,KM,78.21,clear sky,-11.3847,43.2844,Foyer ADM
158,Quatre Cocos,MU,71.1,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
159,Touros,BR,79.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
160,Arlit,NE,84.6,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
161,San Cristobal,VE,73.58,moderate rain,7.7669,-72.225,Posada Villaven C.A.
162,Upington,ZA,73.78,clear sky,-28.4478,21.2561,River Place Manor
163,Laguna,US,75.29,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
164,Nabire,ID,80.69,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
165,Melo,UY,74.14,clear sky,-32.3667,-54.1833,Hotel Juana
166,Noumea,NC,80.58,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
167,Semirara,PH,81.63,overcast clouds,12.0697,121.3986,Jose Rasher Del Rosrio
168,Kissidougou,GN,71.51,scattered clouds,9.1848,-10.0999,Hôtel Mantis
169,Karratha,AU,75.18,clear sky,-20.7377,116.8463,ibis Styles Karratha
170,Mahibadhoo,MV,80.91,overcast clouds,3.7833,72.9667,Omadhoo Inn
171,Porto Walter,BR,81.68,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
172,Itoman,JP,73.42,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
173,Alexandria,EG,71.35,scattered clouds,31.2156,29.9553,Royal Crown Hotel
174,Langsa,ID,73.56,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
176,Sabang,ID,80.17,overcast clouds,5.8933,95.3214,Hotel Citra
177,Souillac,MU,71.37,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
178,Palu,ID,79.92,few clouds,-0.8917,119.8707,Hotel Santika Palu
179,Mananjary,MG,71.24,clear sky,-21.2167,48.3333,Vahiny Lodge
180,Dingle,PH,77.25,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
181,Yulara,AU,84.04,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
183,Santiago Del Estero,AR,83.8,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
184,Moerai,PF,70.18,moderate rain,-22.4333,-151.3333,Le Manotel
185,Ranong,TH,75.13,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
186,Cabedelo,BR,77.67,clear sky,-6.9811,-34.8339,Hotel Pigalle
188,Morondava,MG,71.76,clear sky,-20.2833,44.2833,La Case Bambou
189,Belmonte,BR,77.5,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
190,Amahai,ID,82.29,broken clouds,-3.3333,128.9167,HOTEL ISABELA
191,Caucaia,BR,82.35,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
192,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
194,Honiara,SB,86.18,scattered clouds,-9.4333,159.95,Heritage Park Hotel
196,Kingaroy,AU,75.24,broken clouds,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
197,Katherine,AU,80.92,clear sky,-14.4667,132.2667,Pine Tree Motel
198,Mecca,SA,78.96,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
199,Vao,NC,72.43,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
200,Nanakuli,US,87.75,overcast clouds,21.3906,-158.1547,Camp Pālehua
202,Cozumel,MX,86.11,few clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
203,Iberia,US,71.67,overcast clouds,29.9502,-91.7507,back to back rv park
204,Dubai,AE,80.53,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
205,Gwadar,PK,77.18,clear sky,25.1216,62.3254,Sadaf Resort
206,Saint George,US,71.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
207,Brazzaville,CG,73.71,overcast clouds,-4.2658,15.2832,Hotel Muesse
208,Balikpapan,ID,77.99,light rain,-1.2675,116.8289,ibis Balikpapan
209,Bowen,AU,82.62,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
210,Road Town,VG,83.19,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
211,Batemans Bay,AU,82.2,scattered clouds,-35.7167,150.1833,Batemans Bay Marina Resort
212,Rosetta,EG,71.4,scattered clouds,31.4044,30.4164,Green Valley
213,Cap Malheureux,MU,71.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
214,Chaozhou,CN,73.26,light rain,23.6651,116.6379,Seven Corner View Homestay
215,Tulagi,SB,82.76,scattered clouds,-9.0996,160.1476,Raiders Hotel & Dive
216,Boffa,GN,79.5,moderate rain,10.1667,-14.0333,Hôtel Niara Belly
217,Victoria Point,AU,85.17,clear sky,-27.5833,153.3,Bay Retreat Motel
218,Green Valley,US,76.96,clear sky,31.8543,-110.9937,Best Western Green Valley Inn
219,Sinnamary,GF,78.44,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
220,George Town,MY,80.89,scattered clouds,5.4112,100.3354,Cititel Penang
221,Itarema,BR,80.06,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
222,Giddalur,IN,70.32,scattered clouds,15.35,78.9167,Shivaji Lodge
223,San Angelo,US,71.82,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
224,Burla,IN,72.77,overcast clouds,21.5,83.8667,VSSUT Guest House
225,Buin,CL,79.12,clear sky,-33.7333,-70.75,Paihuen
227,Inirida,CO,72.91,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
228,Nicoya,CR,80.15,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
229,Port Moresby,PG,85.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
230,Cockburn Town,TC,82.36,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
231,Kindu,CD,70.09,overcast clouds,-2.95,25.95,Résidence Okanda
233,Monte Carmelo,BR,75.29,overcast clouds,-18.7247,-47.4986,Park hotel
234,Omboue,GA,73.89,light rain,-1.5746,9.2618,Hotel Olako
235,Portel,BR,77.67,overcast clouds,-1.9356,-50.8211,Kitnet do Marcos
236,Matara,LK,76.01,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
237,Martapura,ID,81.25,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
238,San Nicolas,PH,76.91,few clouds,18.1725,120.5953,NORTHVIEW Hotel
239,Kloulklubed,PW,84.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
240,Boca Do Acre,BR,73.62,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
241,Buchanan,LR,78.13,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
242,Pemangkat,ID,79.32,light rain,1.1667,108.9667,Ramah Kost KITA
243,Ulladulla,AU,81.88,broken clouds,-35.35,150.4667,Sandpiper Motel
244,San Joaquin,US,75.29,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
245,Berbera,SO,79.79,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
246,Inongo,CD,70.14,overcast clouds,-1.95,18.2667,Hotel Du Lac
247,Bhuj,IN,77.23,clear sky,23.2667,69.6667,Regenta Resort Bhuj
248,Mandiana,GN,77.65,broken clouds,10.6333,-8.6833,Motels rouzo
249,Tomatlan,MX,83.95,overcast clouds,19.9333,-105.25,El Salvial
250,Lambare,PY,84.04,clear sky,-25.3468,-57.6065,La casa de Víctor-Jacinto
251,Antalaha,MG,71.22,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
252,Hirara,JP,75.06,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
253,Khorramshahr,IR,71.56,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
254,Sur,OM,76.73,clear sky,22.5667,59.5289,Sur Plaza Hotel
255,Ruwi,OM,82.09,scattered clouds,23.5996,58.5507,Al Falaj Hotel
256,Kupang,ID,84.78,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
257,Safaga,EG,71.55,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
259,Porto Nacional,BR,86.0,few clouds,-10.7081,-48.4172,Vila Real Hotel
260,Aswan,EG,78.1,clear sky,24.0934,32.907,Nuba Nile
261,Lalmohan,BD,76.21,clear sky,22.3384,90.7419,Sundorbon courier service
262,Bayonet Point,US,79.95,overcast clouds,28.3267,-82.6834,Homewood Suites by Hilton Tampa-Port Richey
263,Dzaoudzi,YT,76.89,clear sky,-12.7887,45.2699,Le Rocher
264,Las Vegas,US,76.6,clear sky,36.175,-115.1372,Plaza Hotel & Casino
266,Bairiki,KI,87.8,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
268,Port Macquarie,AU,76.96,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
269,Natal,BR,79.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
271,Namatanai,PG,86.04,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
